"","initial_accuracy","final_accuracy","expected_accuracy","k","N"
"235",0.2,0.1,0.15,19,20
"236",0.25,0.05,0.2,19,20
"237",0.5,0.85,0.25,19,20
"238",0.55,0.85,0.3,19,20
"239",0.45,0.05,0.35,19,20
"240",0.3,0.05,0.4,19,20
"241",0.5,0.45,0.45,19,20
"242",0.45,0.1,0.5,19,20
"243",0.55,0.65,0.55,19,20
"244",0.65,0.85,0.6,19,20
"245",0.7,0.85,0.65,19,20
"246",0.65,0.75,0.7,19,20
"247",0.85,0.9,0.75,19,20
"248",0.55,0.55,0.8,19,20
"249",0.85,0.95,0.85,19,20
"250",1,0.85,0.9,19,20
"251",0.95,0.95,0.95,19,20
"252",1,0.9,1,19,20
"253",0,0,0,19,20
"254",0.05,0.05,0.05,19,20
"255",0.2,0.05,0.1,19,20
"256",0.25,0,0.15,19,20
"257",0.15,0.05,0.2,19,20
"258",0.35,0.2,0.25,19,20
"259",0.4,0.15,0.3,19,20
"260",0.35,0.05,0.35,19,20
"261",0.4,0.25,0.4,19,20
"262",0.5,0.55,0.45,19,20
"263",0.65,0.95,0.5,19,20
"264",0.5,0.55,0.55,19,20
"265",0.65,0.85,0.6,19,20
"266",0.55,0.8,0.65,19,20
"267",0.8,0.9,0.7,19,20
"268",0.75,0.9,0.75,19,20
"269",0.9,1,0.8,19,20
"270",0.8,0.85,0.85,19,20
"271",0.8,0.95,0.9,19,20
"272",1,0.9,0.95,19,20
"273",1,0.95,1,19,20
"274",0,0,0,19,20
"275",0.05,0,0.05,19,20
"276",0.1,0.05,0.1,19,20
"277",0.15,0.05,0.15,19,20
"278",0.15,0,0.2,19,20
"279",0.55,0.1,0.25,19,20
"280",0.3,0.1,0.3,19,20
"281",0.35,0.05,0.35,19,20
"282",0.5,0.8,0.4,19,20
"283",0.25,0.1,0.45,19,20
"284",0.25,0.05,0.5,19,20
"285",0.7,0.85,0.55,19,20
"286",0.6,0.9,0.6,19,20
"287",0.75,0.95,0.65,19,20
"288",0.65,0.75,0.7,19,20
"289",0.6,0.95,0.75,19,20
"290",0.85,0.9,0.8,19,20
"291",0.95,0.85,0.85,19,20
"292",0.95,0.95,0.9,19,20
"293",1,0.85,0.95,19,20
"294",1,1,1,19,20
"295",0,0.1,0,19,20
"296",0,0,0.05,19,20
"297",0.15,0,0.1,19,20
"298",0.3,0.15,0.15,19,20
"299",0.25,0.05,0.2,19,20
"300",0.35,0.1,0.25,19,20
"301",0.2,0.1,0.3,19,20
"302",0.35,0.05,0.35,19,20
"303",0.6,0.95,0.4,19,20
"304",0.35,0.1,0.45,19,20
"305",0.35,0.1,0.5,19,20
"306",0.7,1,0.55,19,20
"307",0.6,0.8,0.6,19,20
"308",0.6,0.75,0.65,19,20
"309",0.75,0.85,0.7,19,20
"310",0.75,0.9,0.75,19,20
"311",0.8,1,0.8,19,20
"312",0.8,1,0.85,19,20
"313",1,0.95,0.9,19,20
"314",0.95,0.95,0.95,19,20
"315",1,0.95,1,19,20
"316",0,0.15,0,19,20
"317",0,0.1,0.05,19,20
"318",0.1,0.05,0.1,19,20
"319",0.15,0,0.15,19,20
"320",0.15,0,0.2,19,20
"321",0.2,0.05,0.25,19,20
"322",0.25,0,0.3,19,20
"323",0.2,0.15,0.35,19,20
"324",0.4,0.3,0.4,19,20
"325",0.4,0,0.45,19,20
"326",0.55,0.7,0.5,19,20
"327",0.45,0.25,0.55,19,20
"328",0.7,0.9,0.6,19,20
"329",0.6,0.85,0.65,19,20
"330",0.85,1,0.7,19,20
"331",0.6,0.9,0.75,19,20
"332",0.75,0.95,0.8,19,20
"333",0.8,0.95,0.85,19,20
"334",0.75,0.95,0.9,19,20
"335",0.95,0.95,0.95,19,20
"336",1,1,1,19,20
"337",0,0,0,19,20
"338",0,0.1,0.05,19,20
"339",0.1,0.1,0.1,19,20
"340",0.2,0.05,0.15,19,20
"341",0.25,0.05,0.2,19,20
"342",0.2,0.05,0.25,19,20
"343",0.25,0.1,0.3,19,20
"344",0.3,0.05,0.35,19,20
"345",0.4,0.45,0.4,19,20
"346",0.5,0.95,0.45,19,20
"347",0.45,0.25,0.5,19,20
"348",0.65,0.9,0.55,19,20
"349",0.65,0.95,0.6,19,20
"350",0.7,0.85,0.65,19,20
"351",0.7,0.85,0.7,19,20
"352",0.8,0.85,0.75,19,20
"353",0.8,0.95,0.8,19,20
"354",0.85,0.95,0.85,19,20
"355",0.95,0.7,0.9,19,20
"356",0.95,0.95,0.95,19,20
"357",1,1,1,19,20
"358",0,0.05,0,19,20
"359",0,0,0.05,19,20
"360",0.05,0.05,0.1,19,20
"361",0.25,0,0.15,19,20
"362",0.2,0,0.2,19,20
"363",0.1,0.05,0.25,19,20
"364",0.3,0,0.3,19,20
"365",0.1,0.1,0.35,19,20
"366",0.3,0.1,0.4,19,20
"367",0.35,0.05,0.45,19,20
"368",0.5,0.55,0.5,19,20
"369",0.45,0.4,0.55,19,20
"370",0.55,0.6,0.6,19,20
"371",0.75,0.85,0.65,19,20
"372",0.65,0.9,0.7,19,20
