"condition","response_1","response_2","response_3"
0.4,"More than 350","More than 350","More than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"More than 350","Less than 350","More than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.4,"More than 350","More than 350","More than 350"
0.4,"Less than 350","Less than 350","Less than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,NA,NA,"More than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,NA,"More than 350","More than 350"
0.5,NA,"Less than 350","Less than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350",NA
0.5,"More than 350",NA,"More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,NA,NA,NA
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"Less than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"Less than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,NA,"Less than 350","Less than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"More than 350","More than 350","More than 350"
0.5,"Less than 350","Less than 350","Less than 350"
0.5,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"More than 350","More than 350","More than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
0.6,"Less than 350","Less than 350","Less than 350"
