"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.35,331.308184932062,415.313399862117,462.072490827502,465.3884277485,0.66,0.967,1000,3,"lognorm"
0.375,343.626754322754,415.313399862117,462.072490827502,465.3884277485,0.628,0.954,1000,3,"lognorm"
0.4,353.775201623635,415.313399862117,462.072490827502,465.3884277485,0.614,0.943,1000,3,"lognorm"
0.425,365.868294719616,415.313399862117,462.072490827502,465.3884277485,0.599,0.936,1000,3,"lognorm"
0.45,376.627347748832,415.313399862117,462.072490827502,465.3884277485,0.578,0.922,1000,3,"lognorm"
0.475,387.81139474412,415.313399862117,462.072490827502,465.3884277485,0.554,0.905,1000,3,"lognorm"
0.5,400.432289933286,415.313399862117,462.072490827502,465.3884277485,0.526,0.893,1000,3,"lognorm"
0.525,413.99790512508,415.313399862117,462.072490827502,465.3884277485,0.503,0.874,1000,3,"lognorm"
0.55,429.018098166205,415.313399862117,462.072490827502,465.3884277485,0.477,0.842,1000,3,"lognorm"
0.575,443.649283468963,415.313399862117,462.072490827502,465.3884277485,0.448,0.781,1000,3,"lognorm"
0.6,459.222698448087,415.313399862117,462.072490827502,465.3884277485,0.42,0.659,1000,3,"lognorm"
0.625,474.400022345752,415.313399862117,462.072490827502,465.3884277485,0.393,0.225,1000,3,"lognorm"
0.65,489.378066358017,415.313399862117,462.072490827502,465.3884277485,0.371,0.161,1000,3,"lognorm"
0.675,508.682812057445,415.313399862117,462.072490827502,465.3884277485,0.342,0.114,1000,3,"lognorm"
0.7,527.033752420504,415.313399862117,462.072490827502,465.3884277485,0.306,0.09,1000,3,"lognorm"
0.725,547.174283002247,415.313399862117,462.072490827502,465.3884277485,0.292,0.073,1000,3,"lognorm"
0.75,569.582401188563,415.313399862117,462.072490827502,465.3884277485,0.261,0.055,1000,3,"lognorm"
0.775,592.184453674335,415.313399862117,462.072490827502,465.3884277485,0.236,0.041,1000,3,"lognorm"
0.8,616.950875801816,415.313399862117,462.072490827502,465.3884277485,0.205,0.034,1000,3,"lognorm"
0.825,645.199565070856,415.313399862117,462.072490827502,465.3884277485,0.175,0.027,1000,3,"lognorm"
0.85,676.356277292071,415.313399862117,462.072490827502,465.3884277485,0.147,0.019,1000,3,"lognorm"
0.875,712.8604119639,415.313399862117,462.072490827502,465.3884277485,0.124,0.015,1000,3,"lognorm"
0.9,755.768920637871,415.313399862117,462.072490827502,465.3884277485,0.11,0.013,1000,3,"lognorm"
0.1,210.793662539322,420.442021810181,476.588230959613,473.404496825624,0.923,0.997,1000,3,"lognorm"
0.125,224.894675583713,420.442021810181,476.588230959613,473.404496825624,0.9,0.993,1000,3,"lognorm"
0.15,237.273158089203,420.442021810181,476.588230959613,473.404496825624,0.871,0.988,1000,3,"lognorm"
0.175,250.195196892611,420.442021810181,476.588230959613,473.404496825624,0.853,0.986,1000,3,"lognorm"
0.2,260.960865335129,420.442021810181,476.588230959613,473.404496825624,0.835,0.983,1000,3,"lognorm"
0.225,272.970919012509,420.442021810181,476.588230959613,473.404496825624,0.803,0.982,1000,3,"lognorm"
0.25,284.542549551196,420.442021810181,476.588230959613,473.404496825624,0.786,0.977,1000,3,"lognorm"
0.275,296.367830845532,420.442021810181,476.588230959613,473.404496825624,0.757,0.97,1000,3,"lognorm"
0.3,307.32723007319,420.442021810181,476.588230959613,473.404496825624,0.736,0.968,1000,3,"lognorm"
